,index
617,g59a.i_1000_1249_lf_sta_ns
618,g59a.i_1000_1249_tot
619,g59a.i_1250_1499_emp_wft
620,g59a.i_1250_1499_emp_wpt
621,g59a.i_1250_1499_emp_aw
622,g59a.i_1250_1499_e_t
623,g59a.i_1250_1499_une_lfw_ftw
624,g59a.i_1250_1499_une_lfw_ptw
625,g59a.i_1250_1499_une_lfw_tot
626,g59a.i_1250_1499_t_lf
627,g59a.i_1250_1499_notin_lf
628,g59a.i_1250_1499_lf_sta_ns
629,g59a.i_1250_1499_tot
630,g59a.i_1500_1749_emp_wft
631,g59a.i_1500_1749_emp_wpt
632,g59a.i_1500_1749_emp_aw
633,g59a.i_1500_1749_e_t
634,g59a.i_1500_1749_une_lfw_ftw
635,g59a.i_1500_1749_une_lfw_ptw
636,g59a.i_1500_1749_une_lfw_tot
637,g59a.i_1500_1749_t_lf
638,g59a.i_1500_1749_notin_lf
639,g59a.i_1500_1749_lf_sta_ns
640,g59a.i_1500_1749_tot
641,g59a.i_1750_1999_emp_wft
642,g59a.i_1750_1999_emp_wpt
643,g59a.i_1750_1999_emp_aw
644,g59a.i_1750_1999_e_t
645,g59a.i_1750_1999_une_lfw_ftw
646,g59a.i_1750_1999_une_lfw_ptw
647,g59a.i_1750_1999_une_lfw_tot
648,g59a.i_1750_1999_t_lf
649,g59a.i_1750_1999_notin_lf
650,g59a.i_1750_1999_lf_sta_ns
651,g59a.i_1750_1999_tot
652,g59a.i_2000_2499_emp_wft
653,g59a.i_2000_2499_emp_wpt
654,g59a.i_2000_2499_emp_aw
655,g59a.i_2000_2499_e_t
656,g59a.i_2000_2499_une_lfw_ftw
657,g59a.i_2000_2499_une_lfw_ptw
658,g59a.i_2000_2499_une_lfw_tot
659,g59a.i_2000_2499_t_lf
660,g59a.i_2000_2499_notin_lf
661,g59a.i_2000_2499_lf_sta_ns
662,g59a.i_2000_2499_tot
663,g59a.i_2500_2999_emp_wft
664,g59a.i_2500_2999_emp_wpt
665,g59a.i_2500_2999_emp_aw
666,g59a.i_2500_2999_e_t
667,g59a.i_2500_2999_une_lfw_ftw
668,g59a.i_2500_2999_une_lfw_ptw
669,g59a.i_2500_2999_une_lfw_tot
670,g59a.i_2500_2999_t_lf
671,g59a.i_2500_2999_notin_lf
672,g59a.i_2500_2999_lf_sta_ns
673,g59a.i_2500_2999_tot
674,g59a.i_3000_3499_emp_wft
675,g59a.i_3000_3499_emp_wpt
676,g59a.i_3000_3499_emp_aw
677,g59a.i_3000_3499_e_t
678,g59a.i_3000_3499_une_lfw_ftw
679,g59a.i_3000_3499_une_lfw_ptw
680,g59a.i_3000_3499_une_lfw_tot
681,g59a.i_3000_3499_t_lf
682,g59a.i_3000_3499_notin_lf
683,g59a.i_3000_3499_lf_sta_ns
684,g59a.i_3000_3499_tot
685,g59a.i_3500_3999_emp_wft
686,g59a.i_3500_3999_emp_wpt
687,g59a.i_3500_3999_emp_aw
688,g59a.i_3500_3999_e_t
689,g59a.i_3500_3999_une_lfw_ftw
690,g59a.i_3500_3999_une_lfw_ptw
691,g59a.i_3500_3999_une_lfw_tot
692,g59a.i_3500_3999_t_lf
693,g59a.i_3500_3999_notin_lf
694,g59a.i_3500_3999_lf_sta_ns
695,g59a.i_3500_3999_tot
696,g59a.i_4000more_emp_wft
697,g59a.i_4000more_emp_wpt
698,g59a.i_4000more_emp_aw
699,g59a.i_4000more_e_t
700,g59a.i_4000more_une_lfw_ftw
701,g59a.i_4000more_une_lfw_ptw
702,g59a.i_4000more_une_lfw_tot
703,g59a.i_4000more_t_lf
704,g59a.i_4000more_notin_lf
705,g59a.i_4000more_lf_sta_ns
706,g59a.i_4000more_tot
707,g59a.part_inc_sta_emp_wft
708,g59a.part_inc_sta_emp_wpt
709,g59a.part_inc_sta_emp_aw
710,g59a.part_inc_sta_e_t
711,g59a.part_inc_sta_une_lfw_ftw
712,g59a.part_inc_sta_une_lfw_ptw
713,g59a.part_inc_sta_une_lfw_tot
714,g59a.part_inc_sta_t_lf
715,g59a.part_inc_sta_notin_lf
716,g59a.part_inc_sta_lf_sta_ns
717,g59a.part_inc_sta_tot
718,g59a.all_inc_ns_emp_wft
719,g59a.all_inc_ns_emp_wpt
720,g13b.mol_sal_filipin_uolse_nwornaa
721,g13b.mol_sal_filipin_uolse_tot
722,g13b.mol_sal_filipin_ns
723,g13b.mol_sal_filipin_tot
724,g13b.mol_sal_indon_seo
725,g13b.mol_sal_indon_uolse_vworw
726,g13b.mol_sal_indon_uolse_nwornaa
727,g13b.mol_sal_indon_uolse_tot
728,g13b.mol_sal_indon_ns
